GENE	Gene Length	DtL_0min_set2d_RNA_Rep1	DtL_0min_set2d_RNA_Rep2	DtL_0min_set2d_RNA_Rep3	DtL_20min_set2d_RNA_Rep1	DtL_20min_set2d_RNA_Rep2	DtL_20min_set2d_RNA_Rep3	DtL_40min_set2d_RNA_Rep1	DtL_40min_set2d_RNA_Rep2	DtL_40min_set2d_RNA_Rep3	DtL_60min_set2d_RNA_Rep1	DtL_60min_set2d_RNA_Rep2
Q0142	177	29.9702	8.09923	29.8012	0	6.129	19.6996	21.3846	11.1637	18.477	26.1382	13.7257
Q0143	153	36.8295	49.7646	21.9732	29.4888	56.4882	40.3473	56.3121	30.1813	26.4901	46.3963	26.9875
Q0144	330	0	0	0	0	0	0	0	0	0	0	0
Q0160	708	33.6681	27.0044	19.9231	31.363	24.3771	23.0611	29.5233	21.3507	32.1059	24.9702	25.4143
Q0182	405	32.2744	20.8722	15.1373	18.4559	30.9791	26.1601	26.1664	17.0115	29.9038	28.7806	18.3182
Q0250	756	429.082	447.32	335.577	443.963	360.057	361.161	400.969	398.595	414.95	357.693	415.199
Q0255	1419	9.22836	6.11712	5.93618	6.10771	5.7787	6.88884	6.24749	4.49193	7.44273	6.38283	4.86664
Q0275	810	301.56	285.883	211.084	297.811	240.782	224.19	272.055	261.66	280.851	228.512	272.216
Q0297	156	611.498	284.333	264.681	310.41	356.77	390.121	355.658	222.42	358.516	599.541	309.707
YAL001C	3483	16.1803	17.3202	18.9919	19.2656	18.4402	18.5263	20.32	20.6114	20.8384	20.5594	21.2993
YAL002W	3825	14.0957	14.2474	15.091	15.8186	15.4184	15.1639	15.7353	15.7832	17.1596	15.8361	17.2764
YAL003W	621	2042.6	1844.65	1857.5	2053.1	1710.75	1707.88	1803.79	1782.63	1739.95	1451.47	1700.5
YAL004W	648	0	0.0394229	0	0.155738	0	0.0639252	0	0.0434714	0	0.0565455	0
YAL005C	1929	420.745	327.806	400.266	457.673	341.54	436.869	534.91	495.14	570.409	434.07	470.841
YAL007C	648	127.134	108.098	120.455	132.948	110.918	117.686	134.364	112.852	126.75	124.513	117.799
YAL008W	597	27.5976	29.0187	38.4521	36.1289	36.736	38.699	38.19	40.0731	45.7151	38.5752	42.8353
YAL009W	780	20.5529	22.2764	20.9276	21.5323	21.0718	19.646	21.5871	21.4282	22.8869	22.4767	23.5346
YAL010C	1482	15.1534	13.7906	13.4626	16.3622	13.612	13.6322	15.3981	14.2784	14.901	16.5598	14.5285
YAL011W	1878	10.0583	9.97472	10.531	10.4646	10.1277	9.39453	10.0815	11.031	11.1612	10.152	10.9181
YAL012W	1185	240.441	216.486	208.36	264.667	206.604	199.553	205.807	218.778	198.669	150.652	196.602
YAL013W	1218	9.82111	10.3242	14.2873	11.3291	12.9229	11.1606	9.08638	14.9823	13.1095	8.59159	13.3148
YAL014C	768	37.5703	34.9146	37.6038	39.5105	38.0722	38.0872	36.0787	40.8395	36.8756	29.5605	40.2682
YAL015C	1200	17.1068	20.3775	21.374	19.9072	20.6774	17.9696	19.1905	22.8714	20.9799	17.4372	23.4785
YAL016C-A	315	0.438801	0.948664	1.04719	0.312303	0.71789	1.15371	1.4313	1.30761	1.44281	1.3607	0
YAL016C-B	186	0	0	0	0	0	0	0	0	0	0	0
YAL016W	1908	72.6433	64.5119	72.035	85.749	65.235	67.3092	79.0506	69.7149	74.8263	70.3233	73.001
YAL017W	4071	26.0799	24.2161	26.2767	32.5112	28.7897	29.5036	32.6615	30.4242	33.4623	29.4388	31.0121
YAL018C	978	0	0.0431543	0.0317574	0.170478	0.0979696	0	0.097664	0.047586	0.131265	0	0.117013
YAL019W	3396	34.5499	36.4878	34.0903	35.1142	34.5487	31.6335	32.3445	35.1531	32.6576	30.3116	36.8101
YAL019W-A	570	0.362653	0.441021	0.576975	0.838848	0.148328	0.397292	0.443596	0.486311	0.67074	0.421713	0.265741
YAL020C	1002	6.68633	9.90159	11.7754	8.91241	10.7177	10.7376	7.62713	12.5078	10.8972	6.29209	11.1585
YAL021C	2514	43.1469	40.1959	36.6023	45.77	38.532	36.4856	40.3607	42.0187	39.3754	33.0605	39.4596
YAL022C	1554	35.1242	33.8822	30.9214	37.8073	34.1502	32.5423	32.9707	39.2623	35.3438	27.7828	36.7031
YAL023C	2280	146.89	133.079	136.502	161.483	126.91	127.104	135.009	137.121	132.902	104.943	128.553
YAL024C	4308	14.8347	14.2378	13.8085	14.4007	14.5631	14.6225	14.8218	14.8153	15.2886	15.2857	15.4991
YAL025C	921	19.7917	23.4308	34.6233	18.3397	24.5151	25.2025	20.342	27.5147	26.4863	21.1515	33.0358
YAL026C	4068	39.0097	40.3108	40.3311	44.2899	39.7088	37.3008	41.8284	41.1622	39.6525	38.7666	41.5123
YAL026C-A	438	49.1208	46.357	50.8345	56.8788	45.2199	45.0744	55.5011	46.7124	57.466	46.5558	49.5343
YAL027W	786	14.3076	13.4157	15.6065	15.1587	14.8071	13.7268	14.1864	14.3735	15.7705	13.6966	14.932
YAL028W	1587	8.35241	6.60696	8.44376	10.016	7.97112	9.26456	10.7133	9.19108	9.02926	9.35853	8.51116
YAL029C	4416	35.7658	38.9639	41.1409	39.5174	41.1231	36.9769	39.7305	40.5176	41.686	40.0284	43.0352
YAL030W	354	168.24	153.25	175.725	169.253	168.231	191.415	205.225	192.775	200.495	208.638	195.787
YAL031C	2283	18.0713	17.4543	17.6308	19.3383	18.7854	17.5935	19.7886	19.2553	18.4186	17.67	18.1698
YAL031W-A	309	2.40153	1.55759	1.52832	3.41843	2.35738	1.26284	2.7417	2.29006	0.394819	1.11705	1.40781
YAL032C	1140	16.5929	17.654	17.9804	20.1319	18.3559	17.7198	17.9524	20.3041	18.2846	17.3454	19.8178
YAL033W	522	30.702	26.85	25.1864	27.314	28.3412	25.5996	22.95	24.461	27.5159	26.6938	28.6686
YAL034C	1242	23.3585	21.8917	22.3351	27.3254	22.6319	21.8074	25.5248	24.5067	24.8626	23.7204	22.7431
YAL034C-B	354	0.554333	0.29961	0.220483	0.591794	0.680178	0	0.226019	1.32151	0.455671	0.644609	1.21859
YAL034W-A	870	5.48316	6.43374	8.68633	7.30462	6.74712	6.3252	7.64327	7.54134	9.01449	7.30256	7.555
YAL035W	3009	113.628	111.373	126.048	121.87	106.862	113.9	112.454	112.888	117.778	106.326	118.512
YAL036C	1110	53.3723	59.0642	64.9361	57.4241	60.4704	56.0483	47.823	59.5293	55.4593	46.7742	64.3487
YAL037C-A	93	6.71632	3.63008	0	9.56025	5.49404	23.545	27.3845	16.0114	0	10.4135	0
YAL037C-B	975	0.36078	0.606657	0.255109	0.456487	0.721412	0.667516	0.261514	0.477826	0.560182	0.55938	0.558111
YAL037W	804	3.98527	4.78978	3.25367	4.96368	4.58974	5.05527	5.21684	4.87537	4.87082	6.17905	5.37946
YAL038W	1503	3660.98	3221.1	3631.09	4135.43	2938.46	3244.43	3330.23	3359.76	3285.76	2498.12	3107.43
YAL039C	810	14.0586	12.7296	16.9197	14.3256	15.5316	13.4578	14.9332	18.0871	18.2941	10.9792	15.7377
YAL040C	1743	33.7391	33.4178	25.646	36.643	35.5824	30.0645	32.0562	34.2606	30.4563	29.5234	31.1464
YAL041W	2565	28.5123	28.8922	28.699	30.6225	29.1826	29.2836	30.4545	29.9869	30.8438	30.4037	31.7952
YAL042C-A	378	2.48164	1.95098	2.51252	3.53246	3.87549	3.36127	3.31149	3.09253	1.8545	1.22428	2.81036
YAL042W	1248	100.943	103.952	110.194	123.988	102.662	100.774	98.5641	120.061	106.828	79.2707	109.638
YAL043C	2358	31.3798	33.1376	31.3512	37.3111	34.7899	31.275	32.7459	36.4255	33.9619	28.884	35.826
YAL044C	513	456.607	631.156	578.252	509.275	633.49	560.362	453.612	747.809	599.617	392.265	708.837
YAL044W-A	333	68.569	80.8595	66.3918	84.0475	74.7872	82.2507	92.0628	88.3376	82.5545	68.7284	91.1011
YAL045C	309	0.480306	0.519198	1.14624	1.02553	0.785794	0.841891	0.391672	0.858774	0.394819	1.11705	2.81562
YAL046C	357	98.6257	99.6208	96.8908	115.263	109.553	102.496	110.75	109.209	109.203	96.9307	117.883
YAL047C	1869	11.1202	10.8069	9.83208	11.7374	10.4191	9.0846	11.705	11.3707	11.489	12.7153	12.0846
YAL047W-A	330	1.43619	1.74654	2.85619	2.55541	3.23076	1.57337	1.46395	2.35388	0.590285	3.34016	1.05239
YAL048C	1989	14.0162	16.1004	15.1547	15.1896	16.432	15.2157	16.5172	17.2155	15.8937	15.0022	17.4895
YAL049C	741	72.4616	70.624	75.5235	78.053	74.3714	78.1774	79.2526	71.6013	79.0142	67.5474	71.1724
YAL051W	3144	14.5163	14.4638	14.4984	16.642	14.2757	14.8015	17.0348	15.9251	16.6594	15.8906	16.4197
YAL053W	2352	53.8466	51.7518	47.0838	61.7059	49.2207	47.4101	57.8356	54.2374	51.9755	50.466	54.303
YAL054C	2142	2.67507	2.34326	2.09131	2.82302	2.87993	2.29057	2.93364	3.5918	3.57645	2.92002	3.09803
YAL055W	543	9.00805	8.02538	12.5205	9.15885	9.79796	12.059	12.6734	11.8584	16.1928	10.2065	11.4608
YAL056C-A	351	0.855946	0.771046	0.453932	0.812257	1.16696	2.50054	0.930657	0.850227	0.469068	0.884748	0.41814
YAL056W	2643	20.2651	22.3265	22.9577	24.5719	22.4144	22.3099	23.8117	24.0614	25.6119	21.0443	25.0136
YAL058W	1509	14.3667	13.3203	13.6151	15.7156	15.0397	13.3199	14.0511	16.6843	15.8728	14.289	15.842
YAL059C-A	423	0.501775	0.271202	0.266105	0.357122	0	0.586348	0.545571	0.498422	0.549956	0.259329	0.122562
YAL059W	639	22.3122	25.6516	25.4069	20.3413	20.2051	22.6939	18.3165	19.1241	20.488	21.6939	23.7317
YAL060W	1149	125.919	162.611	150.739	170.814	186.829	164.628	159.191	216.332	185.404	121.733	204.893
YAL061W	1254	13.8999	11.003	22.0454	22.3619	16.3448	22.8921	26.9203	23.006	34.016	20.631	21.0499
YAL062W	1374	2.66453	2.4888	3.21029	3.99533	2.6875	3.31013	3.35417	3.29942	3.82769	2.26619	3.29838
YAL063C	3969	0.414639	0.342502	0.466756	0.345218	0.326381	0.377107	0.427438	0.419639	0.392287	0.266858	0.521677
YAL063C-A	291	1.30381	2.81876	1.03717	4.17574	3.73286	4.57068	1.59481	1.94264	2.1435	1.51614	1.43308
YAL064C-A	381	0.440953	0.476659	0.350774	0.313835	0.180353	0	0.719162	0.394206	0.181235	0.170922	0.323117
YAL064W	285	0	1.57508	4.05686	1.03704	1.78788	1.27701	0.594101	1.73682	1.19775	1.69438	0.533855
YAL064W-B	381	3.30715	4.64742	7.19088	3.76602	4.50883	7.72913	5.21393	6.3073	6.70571	2.3929	7.27013
YAL065C	387	0.210891	0.227967	0.167762	0.30019	0.345023	0.184827	0	0.251378	0.520067	0.490471	0
YAL066W	309	0	0	0	0	0.392897	0	0	0.286258	0	0	0
YAL067C	1782	0.341717	0.54382	0.256731	0.283741	0.745412	0.183019	0.247696	0.690183	0.436951	0.323781	0.932043
YAL067W-A	228	0	0	0	0	0	0	0	0	0	0	0
YAL068C	363	0	0	0.203079	0	0.208829	0.447475	0.832712	0	0	0	0
YAL068W-A	255	0	0	0	0	0	0	0	0	0	0	0
YAL069W	315	0	0	0	0	0	0	0	0	0	0	0
YAR002C-A	660	197.418	177.084	177.436	208.945	169.311	163.525	189.339	178.009	180.558	175.278	184.304
YAR002W	1620	36.6175	35.8652	33.3842	37.4528	34.1558	33.4687	36.2823	35.1962	36.3645	33.176	36.8339
YAR003W	1281	15.4539	17.7112	20.7508	20.7532	20.6462	18.8825	19.685	21.1099	22.5786	17.0961	22.7102
YAR007C	1866	38.21	34.2708	35.6645	41.0803	34.8928	34.8442	40.0823	36.1597	39.9901	38.1609	37.5475
YAR008W	828	7.38883	9.78015	12.0754	8.29955	10.9371	10.8809	8.60759	10.7845	12.602	10.4041	12.6702
YAR009C	3591	3.85775	4.77258	4.00399	3.90462	4.50915	3.78547	3.9696	4.68141	3.97286	3.9493	4.92623
YAR010C	1323	0.0812931	0.0732297	0.10778	0.173573	0.132998	0.0712462	0.0441943	0.11305	0.133648	0.0420142	0.138994
YAR014C	2130	37.5352	45.1321	46.2899	41.1399	45.4743	39.744	40.6642	50.2832	45.01	36.8231	52.1522
YAR015W	921	95.1042	125.066	124.713	102.086	121.407	107.984	96.1655	133.392	111.641	91.3545	141.854
YAR018C	1308	22.6997	21.5226	21.7739	23.2753	21.626	23.2421	21.9395	23.0776	25.1655	22.1569	23.2388
YAR019C	2925	8.97232	9.48134	8.82442	10.0469	10.4888	9.76973	10.8463	11.0124	10.102	9.85597	10.5832
YAR019W-A	333	2.77046	1.87175	2.75485	3.94358	3.96599	6.07017	2.25921	3.71513	1.42335	2.95318	2.03011
YAR020C	168	61.0052	70.3413	64.7054	72.3642	83.1718	78.4163	102.811	55.7498	70.2061	50.4463	68.5441
YAR023C	540	9.00091	8.10812	8.75128	10.0362	7.93553	8.0638	9.62343	10.0733	9.53634	9.3813	9.52695
YAR027W	708	48.6317	40.8494	45.5961	57.2656	40.5075	47.956	57.9607	49.1633	53.2666	56.0846	47.3905
YAR028W	705	16.0832	14.4879	14.1141	15.5348	13.1563	14.6548	15.3532	15.5954	13.5354	16.5254	16.2749
YAR029W	225	57.216	56.1222	53.9435	72.3941	50.2704	72.4314	65.6662	55.5707	52.2583	77.2122	69.8768
YAR030C	342	3.75479	3.55147	3.48472	4.89931	5.11911	3.56497	4.33768	5.22158	7.20182	2.91085	7.10776
YAR031W	897	1.70665	1.65065	1.82208	1.91788	2.16758	1.92871	1.9777	1.49896	2.06743	2.57648	1.87587
YAR033W	705	2.55289	2.93208	1.62464	2.27117	2.50596	2.34925	1.9777	2.58655	2.62314	3.36446	2.29158
YAR035C-A	81	0	0	0	0	0	0	0	0	0	0	0
YAR035W	2064	3.28711	4.02993	2.95926	3.99426	3.73823	3.2884	2.74589	5.37076	3.96741	2.26238	4.62938
YAR042W	3567	26.9628	26.4438	27.1283	30.5827	28.7143	25.8751	28.5604	31.6268	29.5397	25.4924	31.3523
YAR047C	321	4.0327	3.05147	2.88718	2.58313	4.28845	2.82744	0.328852	3.60518	3.64644	3.1263	3.54604
YAR050W	4614	0.453379	0.407208	0.302317	0.578923	0.50722	0.40319	0.554571	0.576182	0.476817	0.346307	0.449477
YAR053W	297	0	0	0	0	0	0	0	0	0	0	0
YAR060C	336	0	0	0	0	0	0	0	0	0	0	0
YAR064W	300	0.55619	0.300613	0.442444	1.18755	1.36491	1.94981	0.453552	0.994453	0	0.862357	1.22268
YAR066W	612	0.0801734	0	0	0.0570609	0	0.210795	0	0	0.0659038	0	0
YAR068W	486	0.122797	0	0.293052	0.174794	0.10045	0	0	0.073186	0	0	0
YAR069C	294	0	0	0	0	0	0	0	0	0	0	0
YAR070C	300	0	0	0	0	0	0	0	0	0	0	0
YAR071W	1404	0.075592	0.0544753	0.0400885	0.0179334	0.0824471	0.132499	0.0616425	0.105122	0.0207126	0.117203	0.0923191
YAR073W	1212	0.0906633	0.0653364	0.0240406	0.0645268	0.0247213	0.0529723	0.0492884	0.036023	0.0993689	0.0234285	0.0221451
YAR075W	474	0	0.13982	0	0.276175	0	0.113361	0	0.154178	0	0	0
YBL001C	315	409.84	475.518	528.131	482.82	494.627	533.014	538.886	562.009	616.078	560.607	613.497
YBL002W	396	739.848	764.551	744.615	694.804	751.446	710.702	664.506	704.659	710.531	771.854	750.462
YBL003C	399	355.25	359.687	468.579	340.799	400.586	397.726	338.423	356.384	398.239	323.534	327.847
YBL004W	7482	45.0003	46.4585	41.5715	45.1834	42.8111	42.0977	40.9615	40.4862	41.6115	42.2598	44.8981
YBL005W	2931	12.5982	11.8999	12.1712	12.9978	11.7879	11.5072	12.6803	11.2918	12.9695	12.2903	11.8476
YBL005W-A	1323	15.3915	14.9828	14.5934	16.798	17.1345	15.3892	15.9763	16.15	15.6591	16.5536	15.1901
YBL005W-B	5268	24.4061	24.3107	23.9122	27.6711	26.1403	23.2701	26.5127	25.9364	23.8754	22.7549	25.6257
YBL006C	543	54.0483	56.2847	48.5858	55.2349	53.7673	49.1904	50.0478	61.0028	51.6706	37.7562	52.8065
YBL006W-A	150	14.1331	17.8237	7.49516	10.0588	15.4147	12.3864	23.05	8.42318	27.1078	25.5651	6.90418
YBL007C	3735	103.797	97.4694	101.464	117.457	102.24	98.9516	107.776	104.976	107.249	88.4797	104.071
YBL008W	2523	15.8057	16.3454	16.615	18.1171	15.2429	15.6806	16.4686	16.8645	17.6846	15.1899	17.7433
YBL008W-A	240	0	3.62313	2.66627	5.96372	5.48352	2.93749	1.36661	3.9952	12.3983	7.79515	2.45604
YBL009W	2031	12.902	13.0198	11.9653	13.646	12.3709	11.3647	13.6508	11.9138	13.9753	14.0409	13.3076
YBL010C	843	10.8279	11.228	13.9141	12.6929	11.1819	11.5937	11.147	13.0234	13.6531	11.3948	14.1453
YBL011W	2280	56.1568	50.3027	52.4918	60.7013	51.2703	49.0155	55.2587	54.3411	51.368	46.3564	52.7105
YBL012C	402	0.190215	0.102809	0.151314	0.270759	0.466796	0.166707	0	0.3401	0	0.294924	0
YBL013W	1206	6.35581	5.25968	5.53982	6.68793	5.62204	5.89013	5.97649	6.03544	6.2495	4.83296	5.86067
YBL014C	2685	15.555	16.0591	15.4626	16.5892	15.0892	14.8367	15.9482	16.0349	16.754	15.0689	16.3707
YBL015W	1581	36.6627	30.8808	36.3778	46.2935	33.8154	35.8273	43.4202	39.8077	43.4638	33.9441	38.6649
YBL016W	1062	17.2183	17.8773	17.1996	18.4711	16.5153	16.8786	16.347	19.9479	17.9202	16.8172	21.2995
YBL017C	4740	54.0131	55.0944	62.6023	63.2462	58.8936	58.3273	61.4315	61.0303	64.9668	56.8789	64.1671
YBL018C	402	73.2329	84.7144	80.0454	73.105	71.1086	71.3505	70.8869	77.4293	73.9582	81.5464	81.9576
YBL019W	1563	9.3466	8.30779	9.81368	10.325	8.04424	8.9485	10.5477	9.30615	9.79499	10.1304	10.5492
YBL020W	1725	28.7875	27.3246	25.1745	31.7713	24.8227	22.8795	27.8646	27.5806	27.1323	24.7934	28.5354
YBL021C	435	15.0209	20.1273	23.4001	21.7153	23.5506	24.4091	20.1597	22.3807	23.5372	18.8014	25.7972
YBL022C	3402	69.5683	61.6368	66.6705	76.6772	62.6386	65.7352	74.5315	68.6762	74.0758	64.3791	69.8074
YBL023C	2607	18.9823	19.4921	20.6966	21.9868	19.7278	20.1951	20.6526	20.9862	22.5433	19.2511	21.4433
YBL024W	2055	70.5013	70.8622	66.9665	70.4887	63.4711	62.0988	64.4427	63.9636	63.7021	64.2745	67.9329
YBL025W	438	13.0886	15.813	18.7414	16.5486	15.7451	15.3847	18.5841	18.0793	19.2397	19.4579	18.6177
YBL026W	288	420.204	389.074	370.435	394.18	386.559	380.346	405.014	379.352	419.027	500.385	420.982
YBL027W	570	1973.83	1915.11	1873.73	1915.15	1770.07	1688.81	1663.78	1718.24	1605.53	1376.4	1699.08
YBL028C	321	184.698	200.743	176.759	149.822	171.538	159.044	174.291	164.396	165.747	243.538	200.351
YBL029C-A	285	141.338	148.057	164.592	177.333	181.768	169.204	182.983	181.932	208.409	174.521	175.638
YBL029W	1131	0.725923	0.85604	0.971192	0.77498	0.944706	1.30133	1.13011	1.04228	1.22056	1.12552	0.773722
YBL030C	957	166.849	171.961	181.874	199.963	187.595	188.63	185.468	217.867	225.512	161.246	209.673
YBL031W	1017	12.4294	12.7804	12.9622	14.429	12.3683	12.7863	11.4336	13.3024	12.8649	14.4829	12.9676
YBL032W	1146	66.9335	64.3745	64.1882	73.9621	63.9355	58.8603	64.5563	63.1539	64.2216	56.467	63.9058
YBL033C	1038	46.9926	53.3894	47.9161	50.4307	48.2468	43.577	44.0056	57.2234	45.4205	31.226	51.3006
YBL034C	4542	12.1347	11.8165	11.2385	13.3986	12.2554	12.661	13.3671	12.9048	13.1346	13.1176	13.5068
YBL035C	2118	15.2755	17.0932	16.7099	17.8427	15.8965	17.4817	17.3199	17.5771	19.0463	18.2521	19.4887
YBL036C	774	42.8506	47.6986	54.8571	53.065	49.8352	52.7613	49.0017	52.0352	54.6357	54.4488	57.5185
YBL037W	3078	21.0376	18.293	20.0168	23.0268	18.7154	19.4655	22.1888	20.0489	22.291	21.3175	21.5292
YBL038W	699	40.0974	37.1921	40.0772	44.4181	38.0377	36.5021	42.7182	41.8595	42.6362	36.6501	41.6088
YBL039C	1740	118.715	123.791	117.2	111.289	102.427	106.438	92.9716	102.512	96.9919	89.9742	113.351
YBL039C-A	84	287.972	288.512	245.841	289.936	333.238	307.783	257.74	280.466	306	255.916	391.153
YBL039W-B	180	138.313	116.069	144.772	202.061	131.006	165.879	181.056	145.343	203.455	191.877	144.026
YBL040C	660	86.3883	77.3857	89.957	86.3801	80.0504	80.4902	93.1972	82.5896	87.7761	88.2704	79.699
YBL041W	726	116.107	115.714	137.887	126.623	126.769	123.948	132.045	131.561	142.385	123.924	129.251
YBL042C	1920	50.1943	50.4368	41.9242	44.0045	40.0766	34.3287	34.4836	39.3923	35.4766	34.9159	40.0224
YBL043W	774	0.776078	1.34826	1.19063	1.42033	1.17899	1.26316	0.813681	1.71799	1.68601	1.20329	2.55908
YBL044W	369	1.21262	0.131081	0.385852	0.863045	0.198388	0.212551	0.593308	0.289084	0.199359	0.188014	0.355428
YBL045C	1374	76.9869	71.0285	70.4	95.851	81.9582	79.3071	86.9554	93.3397	100.498	80.6002	88.26
YBL046W	1326	8.16071	9.50795	14.4453	11.1739	10.8533	9.923	9.71771	11.5312	12.1948	10.7885	13.8805
YBL047C	4146	94.0226	81.8738	86.9548	105.686	88.3905	90.8783	104.344	93.3839	97.9514	88.3129	92.0557
YBL048W	312	19.2671	16.6122	21.1656	34.6083	16.136	18.4941	23.9415	26.5203	33.5612	18.8485	24.8751
YBL049W	417	17.8429	19.7558	17.7767	22.9324	21.9644	20.0405	27.264	27.7728	25.2047	29.1421	25.1339
YBL050W	879	45.2712	48.6873	59.9357	58.3583	54.604	55.9111	57.7487	57.1286	62.2	56.1534	58.8657
YBL051C	2007	37.612	37.0964	38.5984	38.7988	38.8787	39.1588	41.9974	39.8503	40.906	38.0391	40.7469
YBL052C	2496	11.8251	12.0406	13.7856	13.6059	13.1164	13.4852	12.727	12.8139	13.83	13.5751	13.3345
YBL053W	375	0.461951	0.624196	0.918695	0.493169	0.377882	0.404859	0	0.550637	0.759462	2.32779	0.846258
YBL054W	1578	16.5771	19.6	14.4063	14.6659	13.6319	12.9738	13.2501	15.4135	13.0866	15.8729	16.9129
YBL055C	1257	25.5517	27.6051	25.2182	28.0901	25.5779	23.4059	25.3569	26.6371	25.1335	26.6353	27.0803
YBL056W	1407	89.7215	78.6759	86.1869	95.2123	79.7459	79.7122	86.8547	82.3517	86.3751	74.8743	80.8277
YBL057C	627	60.7466	61.7954	58.919	59.8926	56.4934	55.8031	56.8823	57.404	52.6561	49.0029	62.2282
YBL058W	1272	88.4467	78.3873	95.4107	96.8433	87.733	89.0845	96.3214	93.1514	101.235	80.7632	91.4942
YBL059C-A	330	84.7352	73.7429	81.4014	73.5957	74.0139	85.5912	96.3279	82.5998	93.8554	103.823	94.7155
YBL059W	582	10.4875	10.7227	9.31606	11.1341	10.9382	9.11481	11.1179	10.7821	10.9198	11.0437	12.6802
YBL060W	2064	7.45612	7.38388	10.2043	8.251	9.15538	9.03606	8.7084	9.977	9.58241	9.1614	10.6922
YBL061C	2091	21.6771	20.8278	22.0828	21.0842	20.7048	21.5321	21.4648	22.6936	22.4555	20.7489	23.4328
YBL062W	381	0.881907	0.476659	0.701549	0.627669	0.180353	0.386457	0.179791	0.262804	0.181235	0.512765	0.484675
YBL063W	3336	8.87135	9.37568	10.1319	9.70905	10.6887	9.68358	9.94038	10.1418	10.772	9.25269	10.5558
YBL064C	786	83.6777	67.3421	73.7214	102.37	80.774	93.38	123.037	107.753	127.367	111.212	107.74
YBL065W	345	4.85015	2.78528	3.85825	3.88343	2.23171	3.18804	2.22475	3.07131	3.23935	2.35001	2.4434
YBL066C	3447	8.03561	9.04042	8.99839	9.36558	10.6155	9.45115	9.27625	10.2617	9.90436	8.72694	10.9563
YBL067C	2244	38.0307	36.482	37.007	39.3497	34.6896	34.0593	39.9346	34.8032	38.085	36.9807	37.7021
YBL068W	981	36.657	39.7541	35.9918	35.682	37.8889	36.3428	35.5661	39.6662	37.9436	36.2466	40.2333
YBL068W-A	237	95.0688	96.106	98.0342	88.9633	80.6479	92.5771	91.8816	86.0395	98.4087	99.6325	91.5945
YBL069W	1290	16.6622	17.8452	20.3267	17.3902	15.8025	16.5631	16.2091	19.1279	19.4418	16.5799	19.7073
YBL070C	321	0	0.653886	0.320798	0.287015	0.32988	0.35343	0.657703	0	0.331494	0.937889	0.295504
YBL071C	309	2.40153	2.85559	0.764158	1.02553	0	1.68378	0.783343	2.00381	3.15855	3.35116	1.40781
YBL071C-B	99	0	3.51842	0	4.6331	10.6501	5.7052	5.30845	0	0	0	9.54025
YBL071W-A	249	343.161	346.89	327.806	335.183	384.068	334.726	365.308	342.294	308.05	375.115	346.149
