GENE	Gene Length	LtD_0min_set2d_RNA_Rep1	LtD_0min_set2d_RNA_Rep2	LtD_0min_set2d_RNA_Rep3	LtD_30min_set2d_RNA_Rep1	LtD_30min_set2d_RNA_Rep2	LtD_30min_set2d_RNA_Rep3	LtD_60min_set2d_RNA_Rep1	LtD_60min_set2d_RNA_Rep2	LtD_60min_set2d_RNA_Rep3	LtD_90min_set2d_RNA_Rep1	LtD_90min_set2d_RNA_Rep2	LtD_90min_set2d_RNA_Rep3
Q0255	1419	7.57467	4.83675	2.98795	3.89529	3.52785	3.31195	4.82958	4.43192	4.32123	6.57506	4.51737	6.36578
Q0275	810	365.69	328.914	283.79	331.698	326.861	310.727	387.713	363.059	354.17	405.16	397.183	407.028
Q0297	156	586.803	379.29	188.037	464.809	128.273	348.266	308.118	317.11	424.109	499.806	316.628	244.948
YAL001C	3483	12.6872	16.2375	16.8153	13.8898	16.394	15.3058	14.1964	16.1274	18.5559	14.8395	17.6271	18.4127
YAL002W	3825	12.9044	14.0621	14.3889	11.945	15.8875	13.9879	13.257	15.5155	16.7716	13.057	17.0875	18.9305
YAL003W	621	2461.67	1993.38	2051.46	2173.69	2055.25	2003.34	2231.34	1891.25	1879.43	2227.24	1968.3	1839.49
YAL004W	648	0	0.0521432	0	0	0.356718	0.046691	0	0.0541494	0	0	0.0675838	0.0924087
YAL005C	1929	453.545	510.592	560.008	363.053	413.549	401.614	383.162	431.958	452.449	453.296	481.101	525.786
YAL007C	648	136.96	140.578	135.903	146.549	140.963	135.731	133.601	138.406	146.003	129.599	132.667	131.775
YAL008W	597	20.492	40.4743	45.5405	28.0756	45.8075	42.0239	29.2512	40.9141	44.0342	32.4267	44.9432	56.8959
YAL009W	780	16.106	21.0402	20.7262	16.4925	20.6393	20.1383	16.8229	20.385	22.6419	15.7826	19.2469	22.567
YAL010C	1482	18.1891	15.2537	14.0504	14.6401	16.6803	15.4265	13.8495	15.4902	16.6695	15.1639	14.5655	16.417
YAL011W	1878	6.26515	9.28504	10.8256	6.76573	9.98964	9.28626	8.79943	10.133	10.4735	8.61607	9.46871	10.5249
YAL012W	1185	279.937	241.815	260.727	244.315	271.28	245.59	227.274	216.426	197.927	204.763	225.869	218.824
YAL013W	1218	6.02615	13.2689	15.981	5.7792	14.0764	11.2663	8.7042	10.8809	11.4392	8.67498	12.6064	14.307
YAL014C	768	32.2599	40.2072	39.7665	36.9044	43.5584	38.8029	38.0262	40.3388	38.9326	35.3381	40.6308	36.2317
YAL015C	1200	11.6555	16.8672	16.0112	13.4686	18.8078	16.3965	15.0291	17.7434	16.3875	13.0981	16.7297	20.8975
YAL016C-A	315	2.72699	0.627381	2.7331	0.449122	0.715332	1.12356	2.5058	0.65152	1.57175	0	1.21974	1.66778
YAL016C-B	186	0	0	0	0	0	0	0	0	2.0464	0	0	0
YAL016W	1908	69.0721	75.533	77.1405	63.3994	79.9018	76.9444	71.0509	79.5072	86.933	74.5916	83.3197	91.8554
YAL017W	4071	28.3932	28.3281	28.7074	25.0489	30.2449	27.4474	26.775	30.8369	32.2206	27.1858	30.5854	34.3435
YAL018C	978	0.0708855	0.142696	0.0710442	0	0.130161	0.102221	0.056994	0.0889121	0.166829	0.139769	0.0739807	0.252888
YAL019W	3396	31.4618	34.9859	33.1862	31.425	36.3251	32.2808	30.9205	31.8832	31.5294	31.4384	33.9324	32.0908
YAL019W-A	570	0.160983	0.19444	0.403358	0.278388	0.812895	0.406255	0.51774	0.336536	0.378873	0.396774	0.252018	0.229726
YAL020C	1002	2.95093	8.59282	14.7533	4.31187	11.6561	8.95611	4.35902	8.20612	6.50661	5.27726	9.66907	11.8497
YAL021C	2514	47.5233	43.4382	42.1532	41.308	49.004	41.8654	41.0533	43.4593	38.8825	40.2618	44.8956	41.1361
YAL022C	1554	35.4205	35.2173	33.7139	35.2885	36.8096	33.2622	36.3272	35.016	30.3546	35.135	37.2357	30.6835
YAL023C	2280	148.437	154.241	157.273	139.918	164.511	152.019	142.628	149.58	144.903	140.985	160.163	151.551
YAL024C	4308	15.2964	13.624	13.321	13.7306	14.2833	12.6309	13.2251	13.6426	13.7443	13.8567	13.8185	13.8528
YAL025C	921	7.76671	29.8764	38.3424	10.2395	37.5947	27.8891	15.3334	25.4638	29.8358	21.6444	27.1666	34.7312
YAL026C	4068	36.1418	39.1424	37.511	33.5782	40.9338	36.5277	36.0327	37.9499	40.2801	37.2055	37.9529	41.6308
YAL026C-A	438	39.3719	50.4166	50.147	45.2329	56.8569	46.7221	50.1221	46.1835	56.0749	54.3153	59.7817	56.1845
YAL027W	786	12.125	15.7685	13.3577	12.4253	15.5495	12.7667	14.0816	14.2428	14.8181	13.3294	14.9141	16.4787
YAL028W	1587	8.20707	8.81652	9.71569	6.27808	10.2121	9.71863	6.36582	10.3184	10.427	8.62424	10.6413	12.9517
YAL029C	4416	30.482	36.7922	39.1883	28.9726	40.1169	35.8377	31.4282	37.0101	40.6019	33.7683	39.4167	44.3922
YAL030W	354	144.197	180.11	162.77	171.063	174.183	172.1	176.084	188.275	174.234	169.089	165.902	181.895
YAL031C	2283	18.9147	17.4706	15.5323	16.4754	18.7768	17.1642	16.9749	17.0062	18.6468	17.3827	18.9318	19.922
YAL031W-A	309	1.70568	1.71681	0.427373	1.47481	2.34898	2.15221	0.685706	0.356573	1.72041	2.10199	1.33511	2.43404
YAL032C	1140	16.1522	18.8437	20.2573	17.3844	21.938	20.0515	15.9946	19.8355	18.895	17.2107	20.4287	18.8287
YAL033W	522	26.311	30.8647	30.259	31.3151	28.6746	27.8422	27.5469	27.6204	26.8566	24.3532	25.8794	22.6899
YAL034C	1242	24.4067	23.0051	23.9397	24.028	29.1923	25.59	23.0547	32.354	30.3739	26.4477	33.7278	34.2348
YAL034C-B	354	0.492141	0.198141	0.493242	0.851058	0.451836	0	0	1.02882	0.661858	0.727786	1.28407	1.40459
YAL034W-A	870	5.32566	7.47108	6.17158	4.89263	8.06005	6.0299	5.82082	6.61042	7.30213	7.0553	6.68721	7.59984
YAL035W	3009	101.947	130.492	153.281	106.296	154.475	131.596	116.291	124.162	140.258	125.639	131.234	149.568
YAL036C	1110	35.8308	63.5269	72.3332	38.6788	72.3775	65.3446	51.3446	56.2349	59.5883	51.7446	63.359	73.0142
YAL037C-A	93	5.96279	0	0	6.8743	5.47446	8.59865	0	34.9027	12.0286	5.87859	0	17.0181
YAL037C-B	975	0.711785	0.401201	0.249682	0.328237	0.163373	0.307929	0.286147	0.416637	0.430761	0.245607	0.11143	0.30472
YAL037W	804	4.42268	4.7983	3.63938	5.2061	5.94112	5.13576	5.98899	6.26758	6.32352	6.19611	6.99657	6.577
YAL038W	1503	3079.46	3367.01	3754.57	2817.37	3927.48	3504.03	3006.28	3442.74	3451.81	3324.62	4033.41	4179.37
YAL039C	810	12.3892	15.2052	19.2024	11.6814	20.5081	15.4417	13.4052	17.7544	15.8255	13.077	18.506	20.0458
YAL040C	1743	42.181	31.9318	30.5582	37.3042	44.0456	34.2293	39.88	39.0752	31.9105	38.1582	39.7991	35.1929
YAL041W	2565	27.1988	29.95	28.6797	25.3245	31.67	29.3925	26.4971	31.0371	33.0677	26.9577	30.7035	34.2602
YAL042C-A	378	1.00146	1.6128	2.40889	2.0782	2.20667	2.16624	1.28833	1.84234	2.02024	2.17211	4.38981	3.71569
YAL042W	1248	90.8331	106.775	115.351	101.677	127.228	114.147	100.191	106.666	101.375	105.92	120.955	114.968
YAL043C	2358	32.5882	32.643	32.9926	30.9033	35.3745	32.4893	30.1813	32.9668	30.9833	29.9418	32.8987	32.413
YAL044C	513	224.906	333.276	315.357	231.869	329.678	293.7	242.367	314.591	253.569	239.001	344.837	279.745
YAL044W-A	333	80.5531	85.1637	69.6402	93.2214	96.2558	81.8009	84.0487	70.9581	77.1143	73.6564	92.0923	83.3614
YAL045C	309	0.426419	0.686723	0	0	0	0	1.37141	0	0.573471	0.420397	0.445038	0
YAL046C	357	86.3644	89.1915	85.119	96.8085	86.32	94.1826	81.5576	86.8218	85.9041	81.1352	94.6297	74.4243
YAL047C	1869	11.0209	10.1714	8.69581	10.9772	10.1037	9.57935	9.9255	10.0026	10.0062	10.1892	10.4868	9.90057
YAL047W-A	330	0.63753	1.28338	0.319478	2.57245	0.585318	1.37903	2.05037	2.13242	1.71477	2.82837	1.66342	2.72931
YAL048C	1989	8.98383	12.232	12.9032	9.87781	13.8922	11.681	10.4588	12.8144	13.1004	11.6678	12.9251	14.6849
YAL049C	741	73.9423	76.666	79.1079	66.1743	83.4601	86.2949	77.0169	85.6321	90.4014	80.7678	87.9134	92.1027
YAL051W	3144	14.6369	15.6955	15.2511	13.2835	15.1999	13.842	13.3472	15.3366	16.0297	14.0167	14.9593	16.3532
YAL053W	2352	52.081	50.5041	47.9124	50.864	59.2085	53.5681	55.2796	56.9061	57.5003	55.2943	63.7797	67.483
YAL054C	2142	2.2794	2.62674	2.91377	2.5649	2.66917	2.5686	2.91916	3.03597	2.6341	2.51634	3.61825	3.29171
YAL055W	543	4.8336	14.2947	16.0306	6.68699	15.4918	11.4693	8.62063	12.4196	10.3417	11.5235	11.3734	15.6765
YAL056C-A	351	0	0.407933	0.761616	0	0.23256	0.913197	0.407329	0.423629	0.851646	0.998912	0.52873	1.44589
YAL056W	2643	18.7793	22.1	21.2984	18.6514	21.3734	21.7347	20.6355	21.362	23.6589	19.8442	22.1337	23.6258
YAL058W	1509	12.4062	16.7762	16.2361	12.7424	16.85	15.9387	12.3327	14.6267	14.7817	12.4736	15.6231	16.2408
YAL059C-A	423	0.742465	0.358709	0.297651	0.513578	0.545328	0.214134	0	0.372511	0.199701	0.73198	0.46493	0.423805
YAL059W	639	20.5377	26.1931	23.5716	25.3576	27.3713	23.5021	28.2317	20.6638	20.537	21.4887	23.4396	20.9882
YAL060W	1149	100.222	121.016	123.177	87.7738	119.399	114.552	97.4084	126.873	120.962	105.911	136.178	135.399
YAL061W	1254	10.1809	23.4549	29.0134	11.589	29.5519	25.0806	13.6842	31.0218	33.3132	17.1594	32.6275	47.1436
YAL062W	1374	1.76845	4.06856	4.53461	2.06527	4.2172	3.9909	2.47445	3.74498	3.55202	2.21897	4.53028	4.94892
YAL063C	3969	0.298662	0.385901	0.508166	0.480443	0.414493	0.290463	0.357407	0.418173	0.392317	0.314988	0.442184	0.416286
YAL063C-A	291	1.73629	3.72826	0.580059	2.00171	3.18819	2.50382	3.72274	6.77549	3.11341	3.99413	3.62421	6.60727
YAL064C-A	381	0	0.630458	0.392358	0	1.25797	0.282268	0.314762	0.327358	0.263243	1.15786	0.612862	1.11731
YAL064W	285	0	2.60411	1.29651	0.745682	0	1.86546	1.0401	1.08172	0.434931	1.27535	0	0
YAL064W-B	381	1.56593	4.25559	4.70829	1.8053	7.36812	4.93969	5.98048	5.07405	4.21189	5.01739	8.58007	7.26248
YAL065C	387	0.374461	0.150762	0	0.215851	0	0.809987	0.301077	0	0	0.369173	0	0.267182
YAL066W	309	0.426419	0.343361	0	0	0	0.307459	0	0.356573	0.286736	0.420397	0	0
YAL067C	1782	0.320233	0.597146	0.574332	0.252601	0.696333	0.583317	0.379439	0.690591	0.623334	0.564957	0.914696	0.432928
YAL067W-A	228	0	0	0	0	0	0	0	0	0	0	0	0
YAL068C	363	0	0	0	0	0	0	0	0.568568	0	0	0	0
YAL068W-A	255	0	0	0	0	0	0	0	0	0	0	0	0
YAL069W	315	0	0	0	0	0	0	0	0	0	0	0	0
YAR002C-A	660	176.15	189.068	167.66	185.9	178.692	188.065	175.495	171.583	191.917	179.86	182.463	161.031
YAR002W	1620	33.2065	36.6935	35.5096	39.2387	38.0136	32.2453	35.9724	34.1656	33.4555	33.1835	33.6337	30.0939
YAR003W	1281	9.1634	19.6358	22.0062	11.3146	21.2163	18.6478	10.5482	17.5441	18.7545	14.4396	19.6235	22.2941
YAR007C	1866	38.509	37.5959	34.5595	37.5245	35.6633	35.5427	36.3068	37.1585	39.0137	37.6501	36.705	37.9656
YAR008W	828	5.5781	9.77374	13.8199	6.07068	12.9466	9.74922	6.96065	10.6349	11.1626	9.63483	9.45438	13.3092
YAR009C	3591	5.86027	5.09856	4.02924	4.73284	5.55069	4.47626	4.17724	4.68057	4.91276	4.53512	5.33348	5.63768
YAR010C	1323	0.0962301	0	0.0723341	0.0277351	0.154611	0.138769	0.0773717	0.020117	0.0485308	0.0948712	0.0502159	0.0343306
YAR014C	2130	27.2251	38.8783	38.6851	31.4344	40.356	35.546	33.42	37.8127	37.6576	33.9503	39.8396	37.3415
YAR015W	921	49.0995	77.0904	79.4979	52.6157	83.2379	75.2673	61.0245	74.7516	75.2616	66.8664	77.2462	78.6802
YAR018C	1308	22.7148	25.7166	21.9587	26.0465	26.2978	23.3267	25.9728	24.5435	24.7404	24.7994	23.6048	23.5014
YAR019C	2925	10.7368	9.62509	9.47376	8.4487	10.3539	8.69525	8.39977	9.58366	9.69336	8.11973	10.3893	10.3338
YAR019W-A	333	0.922364	0.742706	0.308143	0	1.41138	1.10841	0.494404	1.54257	0.826963	2.72801	1.92527	2.63247
YAR020C	168	54.1608	49.4263	21.7128	20.8134	66.3003	36.4479	40.6437	75.4824	29.1354	56.9557	109.283	77.2887
YAR023C	540	8.61259	9.15139	10.9456	6.14175	8.88547	7.81039	7.13894	11.0627	10.6871	8.3159	10.1006	10.2631
YAR027W	708	48.2418	49.6785	43.5543	48.6724	52.3016	51.3433	45.1694	57.8504	64.6511	49.2254	59.8068	65.1469
YAR028W	705	13.8821	14.6457	12.096	12.5421	15.3983	13.5229	12.4828	14.7354	14.5165	13.1833	16.2032	14.3118
YAR029W	225	43.2713	75.7456	43.3682	47.7171	60.455	66.469	45.38	48.7692	74.6397	61.2082	56.9418	64.4339
YAR030C	342	2.77794	5.59214	3.6194	2.24181	5.10087	6.60978	3.12696	4.64584	5.60388	3.56032	5.79847	4.3606
YAR031W	897	1.31581	1.86219	1.23883	1.0113	1.46431	2.87495	1.47472	1.53373	1.76958	1.76895	1.45649	1.65009
YAR033W	705	2.26647	2.28126	3.57768	2.28632	2.39298	2.32871	2.73346	2.17952	2.97187	2.23447	2.83852	2.83002
YAR035C-A	81	0	0	0	0	0	0	0	0	0	0	0	0
YAR035W	2064	3.31692	3.31277	3.99491	2.74078	3.30667	3.34616	2.90726	2.85694	2.39312	2.38589	3.66975	2.47839
YAR042W	3567	28.2284	28.9253	29.5559	26.1426	33.5093	27.793	26.1463	29.6019	27.8309	27.3231	32.1592	31.1815
YAR047C	321	4.29631	1.72974	2.51179	2.88929	2.62964	2.8396	2.3029	2.99382	5.53717	2.47079	2.61561	0.510911
YAR050W	4614	0.733994	0.414673	0.539862	0.504988	0.652144	0.473745	0.456892	0.494974	0.366188	0.350143	0.685732	0.523713
YAR053W	297	0	0	0	0	0	0	0	0	0	0	0	0
YAR060C	336	0	0	0	0	0	0	0	0	0	0	0	0
YAR064W	300	0	0.397609	0.494894	0.569273	0	0.356035	0.794041	0	0	0	0.51535	0
YAR066W	612	0	0	0	0	0	0	0	0	0	0	0	0
YAR068W	486	0	0.0877853	0	0	0.100092	0.0786063	0	0.091163	0.146616	0	0.11378	0
YAR069C	294	0	0	0	0	0	0	0	0	0	0	0	0
YAR070C	300	0	0	0	0	0	0	0	0	0	0	0	0
YAR071W	1404	0.111852	0.324236	0.179363	0.12895	0.102692	0.177426	0	0.0748247	0.270764	0.19849	0.280166	0.287307
YAR073W	1212	0.0804915	0.108022	0.0268905	0.061864	0	0.0193455	0.043145	0	0.0180416	0.105806	0.056004	0
YAR075W	474	0	0	0.230183	0.132389	0.10543	0	0.18466	0.096025	0.154436	0.113213	0.119849	0
YBL001C	315	257.116	432.893	433.781	311.242	422.761	422.74	356.451	414.367	468.119	364.482	481.798	498.665
YBL002W	396	849.834	828.525	728.248	845.397	740.7	693.481	743.918	671.832	650.521	692.967	648.283	550.809
YBL003C	399	390.323	421.512	586.622	353.081	430.629	392.093	353.994	383.572	370.183	344.733	335.097	356.42
YBL004W	7482	51.647	47.8348	45.8839	45.0704	50.6543	46.6837	49.1024	42.8259	47.5678	47.9735	45.0178	42.3816
YBL005W	2931	9.74938	9.89058	9.54912	9.45159	10.4722	9.24539	9.74425	10.1825	10.8183	9.53572	10.3058	10.9706
YBL005W-A	1323	17.971	12.4947	12.345	14.034	14.7101	12.9402	13.5014	14.1221	13.4269	12.7839	13.3072	15.6891
YBL005W-B	5268	25.5649	20.4569	21.3036	20.3865	24.8419	20.6564	21.54	22.5613	22.3692	21.3264	23.4629	26.0279
YBL006C	543	55.9819	55.4096	50.9104	58.7644	60.7567	55.9525	57.2353	51.442	47.6308	50.9458	54.2988	57.4386
YBL006W-A	150	8.36496	3.36782	16.7674	9.64368	7.6799	12.0627	13.4513	6.99481	5.62483	4.12342	8.73021	5.96849
YBL007C	3735	104.292	104.288	106.702	99.4198	119.555	108.032	103.693	108.66	111.86	109.637	116.427	120.217
YBL008W	2523	12.2372	14.5105	15.0659	13.0337	15.4911	14.0583	13.5937	14.4228	14.8833	13.8454	14.5028	14.8036
YBL008W-A	240	0	5.99022	1.49117	1.71528	1.36599	0	4.78507	1.24414	3.0014	2.93367	9.31685	4.24637
YBL009W	2031	13.6439	13.7183	14.1539	11.8682	13.1654	11.8971	13.22	13.0458	12.1189	11.8216	13.3619	12.7869
YBL010C	843	7.26416	12.1889	13.6017	9.42769	13.0589	11.1966	10.4921	13.0579	12.3432	9.94902	12.0303	15.3319
YBL011W	2280	65.8094	56.1257	54.0097	55.5417	57.2662	54.027	55.8891	54.4555	55.3214	58.8097	57.0122	54.2809
YBL012C	402	0.675497	0.271962	0	0.19469	0	0.365288	0	0.282427	0	0	0.352496	0
YBL013W	1206	6.15571	6.17414	5.95301	6.69207	6.22169	6.4435	6.33866	6.29882	4.93807	5.98893	7.80519	6.74236
YBL014C	2685	11.784	15.0658	15.4353	13.94	15.9411	14.6529	12.775	14.9803	16.0688	13.0711	14.9331	16.1652
YBL015W	1581	39.9981	37.7679	40.457	34.4166	43.1159	39.7629	41.1119	46.0661	45.4177	48.6127	54.3773	53.9226
YBL016W	1062	27.7446	21.5472	22.5511	25.5374	24.9181	20.9899	24.3772	23.3862	18.5067	19.4885	21.3273	20.363
YBL017C	4740	41.3773	53.1455	58.3011	40.2871	59.0324	54.9516	45.2955	55.7388	67.055	51.2691	59.8283	72.3136
YBL018C	402	60.9636	69.3504	63.6389	60.1591	62.9479	60.5161	66.5321	58.6035	56.8914	65.0974	62.3918	61.9338
YBL019W	1563	7.94404	8.40755	8.31655	8.43299	9.82088	8.03884	8.85358	9.93135	10.1943	8.00633	10.3636	9.82106
YBL020W	1725	28.2885	30.2351	27.6325	27.8905	29.5397	29.2825	28.9376	28.383	28.0739	27.8373	29.4872	28.6525
YBL021C	435	17.3641	19.6866	21.4404	22.4207	24.9971	22.4358	19.8808	19.3986	22.8851	20.2688	22.0367	23.3913
YBL022C	3402	71.8017	71.3827	73.8924	64.9033	74.6336	66.9677	65.6634	67.8936	72.2402	67.3945	68.6678	72.9002
YBL023C	2607	16.9951	20.5669	20.8988	18.2666	21.5186	20.3678	17.9374	20.277	21.6328	18.7212	21.2251	20.8592
YBL024W	2055	66.4543	65.0074	68.3523	69.7186	72.9647	67.3805	73.9409	66.7789	65.7346	69.1266	65.6978	64.2488
YBL025W	438	11.0733	14.6406	16.0306	15.1302	17.5717	15.6726	12.3107	15.4326	17.0982	12.3995	13.269	14.8265
YBL026W	288	397.523	413.66	334.054	453.355	317.241	358.942	407.146	333.433	422.342	390.704	362.542	321.164
YBL027W	570	2178.18	2002.15	2000.17	2081.32	2000.53	1934.12	2042.22	1810.83	1782.43	2054.97	1798.82	1671.03
YBL028C	321	196.914	185.37	170.084	190.693	174.214	163.664	194.02	144.602	147.337	172.249	138.254	113.422
YBL029C-A	285	157.174	181.246	182.16	207.3	203.092	144.573	165.376	188.761	148.311	139.013	186.314	146.758
YBL029W	1131	1.93344	1.58043	1.76161	1.82372	1.69441	1.18284	1.17768	1.15132	1.14251	0.981949	1.28409	1.00329
YBL030C	957	104.811	156.215	199.85	121.716	179.186	168.694	150.232	185.479	172.194	163.883	199.426	207.165
YBL031W	1017	15.8122	15.7935	12.5095	15.9022	14.0539	12.7837	14.8774	14.6288	14.2521	14.1627	14.115	11.7623
YBL032W	1146	73.8263	74.8938	81.4975	72.0612	78.2262	76.2842	71.7026	71.3925	66.7263	62.8161	74.0436	67.9875
YBL033C	1038	35.2691	38.9997	40.7962	36.5454	45.0383	37.2358	35.0714	40.8563	36.818	38.0641	45.6952	41.9181
YBL034C	4542	12.5367	12.9929	12.5648	11.8928	12.8251	11.2568	12.2817	12.5064	13.4079	11.79	12.9019	13.029
YBL035C	2118	17.6537	17.7216	16.7511	16.862	18.6322	15.7191	16.3393	17.3516	16.2306	16.8048	18.0927	17.0645
YBL036C	774	24.6566	53.38	54.948	28.9364	55.3056	51.7019	37.275	53.2116	63.4069	42.5034	50.6446	70.1604
YBL037W	3078	18.6865	19.0475	19.2318	19.1423	20.7534	19.9599	20.8257	21.6744	23.976	21.1689	22.2095	24.3201
YBL038W	699	38.9863	37.5417	34.7576	41.7025	41.5394	36.8454	40.9946	40.0904	39.4197	39.5679	41.1081	39.0014
YBL039C	1740	104.755	119.207	128.123	119.25	138.989	126.01	133.87	109.825	112.133	121.829	117.63	109.031
YBL039C-A	84	349.198	351.477	243.736	208.478	246.175	341.703	350.957	276.358	306.092	319.677	214.763	266.954
YBL039W-B	180	187.424	124.898	103.638	156.468	112.739	153.777	98.7308	175.64	186.871	162.477	158.51	161.397
YBL040C	660	67.9578	92.0285	85.1215	77.7664	88.6536	89.8396	81.2776	84.2672	101.158	83.0504	92.3141	98.0537
YBL041W	726	97.1219	129.977	136.698	99.479	133.528	129.939	103.741	122.885	137.9	119.354	131.212	148.644
YBL042C	1920	42.0579	41.1869	37.193	39.2175	40.1183	38.9094	42.0956	34.6518	32.0551	35.0615	33.5178	28.2436
YBL043W	774	0.689007	0.713318	0.937174	1.87236	0.722949	0.993584	1.02882	0.781918	0.628774	1.40707	0.719092	0.912998
YBL044W	369	0.861259	0.173376	0.431593	0.992916	0.197681	1.24198	1.03871	0.180047	0.289567	0.212274	0.674148	0
YBL045C	1374	78.432	79.2444	78.6536	82.849	92.9893	79.8014	97.5007	92.5297	89.5573	103.816	106.569	94.6521
YBL046W	1326	3.91045	9.85201	14.6429	5.44859	12.5987	11.036	5.59382	10.5119	12.6635	8.63288	12.2937	14.1733
YBL047C	4146	104.511	96.1776	99.0439	99.5592	118.292	99.4492	99.5375	106.404	107.601	101.068	110.161	116.583
YBL048W	312	12.6254	15.7413	12.2455	11.2687	19.8177	21.7304	25.5418	22.4771	31.7679	21.6821	31.0291	38.9395
YBL049W	417	11.3809	13.8701	17.4179	11.3476	19.4857	15.5247	15.0861	18.1333	24.7166	12.4332	23.2742	29.6285
YBL050W	879	28.9137	52.5082	62.766	36.5961	57.1958	53.3164	38.8446	54.0141	63.7875	44.1935	57.827	68.826
YBL051C	2007	43.7684	39.7877	41.4948	37.9206	49.0627	38.139	40.0833	42.523	40.4307	37.5428	41.9521	44.5473
YBL052C	2496	11.6023	14.9164	15.4774	11.3344	14.8433	13.0499	11.2793	13.3461	15.2786	11.8125	13.1169	14.4728
YBL053W	375	0.615185	0.66048	0.616562	0.236409	0.188268	0.591419	0	0.342946	0.137889	0.404332	0.214015	0.877883
YBL054W	1578	15.2616	15.9208	15.2178	15.1739	17.4209	14.3683	16.8508	13.6884	13.0207	13.4936	14.4062	14.3156
YBL055C	1257	22.1723	25.3253	24.3799	23.7886	25.1338	26.7063	24.6489	25.8282	27.2676	25.9783	24.371	27.8362
YBL056W	1407	87.5985	92.7247	91.708	80.4108	93.2277	91.5075	85.9676	88.4749	99.053	90.1011	94.8698	95.903
YBL057C	627	69.5159	62.9107	62.3413	66.5096	69.4081	63.2326	65.6204	63.2736	55.983	66.7822	62.3498	54.4287
YBL058W	1272	79.0287	96.9889	103.684	80.9183	105.159	92.6022	80.5385	97.9962	98.5547	83.8639	94.4731	103.261
YBL059C-A	330	84.4727	86.4998	65.8125	95.1807	75.506	73.548	101.493	82.3646	84.4524	83.9083	81.8401	78.2401
YBL059W	582	9.77646	10.9336	11.5092	10.9131	11.8965	10.8533	13.8495	10.6406	10.3305	11.3978	12.1468	8.85792
